code,ClozeProb,NGramProb
17005,0.4722222222222222,0.187720803544
17010,0.8333333333333334,0.254012165865
17015,0.7777777777777778,0.0516449769663
17020,0.1111111111111111,0.00795548999043
17025,0.05555555555555555,1.08165398516e-05
17030,0.1111111111111111,0.0629892318569
17035,0.2777777777777778,0.00588994264172
17040,0.1111111111111111,0.0129734739152
17045,0.5277777777777778,0.000342177675279
17050,0.1111111111111111,0.00314830571155
17055,0.027777777777777776,2.07072711515e-10
17060,0.08333333333333333,0.0519806525996
17065,0.3055555555555556,0.0273571167151
17070,0.05555555555555555,0.0129950078292
17075,0.9166666666666666,0.44316477686
17080,0.05555555555555555,7.17553641777e-06
17085,0.027777777777777776,4.37071873148e-05
17090,0.5555555555555556,0.0845743014896
17095,0.05555555555555555,0.000207502919976
17100,0.3611111111111111,0.029580393343
17105,0.05555555555555555,2.1885064645e-05
17110,0.5,1.41089130165e-05
17115,0.3055555555555556,0.0974144919335
17120,0.05555555555555555,0.00519926277583
17125,0.05555555555555555,3.58789291676e-07
17130,0.027777777777777776,2.23264949373e-05
17135,0.05555555555555555,NA
17140,0.8333333333333334,0.101182376811
17145,0.3333333333333333,0.000303998993085
17150,0.05555555555555555,2.81165527929e-06
17155,0.1111111111111111,0.0321717468263
17160,0.4722222222222222,0.056841274421
17165,0.1388888888888889,0.00743277075315
17170,0.16666666666666666,0.0133839563447
17175,0.05555555555555555,5.34898899413e-07
17180,0.05555555555555555,1.30370807075e-07
17185,0.08333333333333333,0.000845588469912
17190,0.027777777777777776,2.85895615673e-07
17195,0.4444444444444444,0.0757556196779
17200,0.05555555555555555,NA
17205,0.5,0.0712941072921
17210,0.05555555555555555,0.00051246063643
17215,0.05555555555555555,0.00065279096741
17220,0.3333333333333333,0.00098668280866
17225,0.3055555555555556,0.13860365269
17230,0.5,0.221852075119
17235,0.08333333333333333,NA
17240,0.1388888888888889,0.0150440607796
17245,0.1111111111111111,0.0295867593017
17250,0.05555555555555555,3.39520131893e-05
17255,0.4722222222222222,0.837098107737
17260,0.08333333333333333,0.00179901994131
17265,0.4722222222222222,0.0199352662226
17270,0.25,9.6433038266e-05
17275,0.3055555555555556,0.0701655854272
17280,0.9722222222222222,0.281817282561
17285,0.05555555555555555,0.00358249682838
17290,0.05555555555555555,0.0485456631713
17295,0.05555555555555555,2.3797082414e-05
17300,0.16666666666666666,0.107192279723
17305,0.05555555555555555,NA
17310,0.8333333333333334,0.0336404349187
17315,0.8333333333333334,0.210149722084
17320,0.027777777777777776,7.7699188651e-08
17325,0.19444444444444445,0.243877054901
17330,0.3333333333333333,0.0289524776311
17335,0.6666666666666666,0.0137571657053
17340,0.7777777777777778,0.127706031471
17345,0.8611111111111112,NA
17350,0.25,0.0290875026407
17355,0.7222222222222222,0.0464774531614
17360,0.3611111111111111,0.0730582495988
17365,0.08333333333333333,NA
17370,0.75,0.009300221256
17375,0.05555555555555555,0.137305745758
17380,0.1111111111111111,NA
17385,0.027777777777777776,NA
17390,0.4166666666666667,0.035237410711
17395,0.027777777777777776,0.00123018405425
17400,0.3333333333333333,0.0216592047353
17405,0.2222222222222222,0.00228763715116
17410,0.8333333333333334,NA
17415,0.2222222222222222,0.016912093099
17420,0.1111111111111111,0.0265184848924
17425,0.027777777777777776,0.0123670194978
17430,0.9166666666666666,0.67700416817
17435,0.027777777777777776,4.97234982054e-06
17440,0.08333333333333333,0.000917213455329
17445,0.08333333333333333,0.0109901099171
17450,0.05555555555555555,0.000110639787346
17455,0.6666666666666666,0.11369922755
17460,0.3333333333333333,0.199206876118
17465,0.7777777777777778,0.456404643673
17470,0.027777777777777776,5.65777085617e-05
17475,0.08333333333333333,0.00152723065894
17480,0.05555555555555555,0.000159812616767
17485,0.3611111111111111,7.22666562022e-05
17490,0.08333333333333333,0.0116134387827
17495,0.08333333333333333,0.00404096155667
17500,0.05555555555555555,NA
17505,0.08333333333333333,0.493445127716
17510,0.2222222222222222,NA
17515,0.027777777777777776,NA
17520,0.1388888888888889,0.00634255604757
17525,0.08333333333333333,0.041614649331
17530,0.8333333333333334,0.0468059396745
17535,0.25,0.308736526982
17540,0.05555555555555555,0.000208128512406
17545,0.3611111111111111,0.308458468556
17550,0.05555555555555555,9.18884536135e-05
17555,0.1111111111111111,0.0450720196144
17560,0.5277777777777778,0.215272995983
17565,0.5277777777777778,0.207659409471
17570,0.5,0.00869935471303
17575,0.8333333333333334,0.30609181984
17580,0.05555555555555555,3.28726049595e-05
17585,0.08333333333333333,0.000362593785587
17590,0.3055555555555556,0.0888571479618
17595,0.7777777777777778,0.162702426058
17600,0.2777777777777778,0.004679411127
17605,0.05555555555555555,0.000158093072694
17610,0.05555555555555555,0.000217914207553
17615,0.8333333333333334,0.865514416275
17620,0.05555555555555555,0.0237441142341
17625,0.8888888888888888,9.16042939156e-05
17630,0.3055555555555556,0.153798374574
17635,0.5,0.0166768837773
17640,0.5833333333333334,0.00548858418607
17645,0.0,NA
17650,0.1111111111111111,0.000113136641023
17655,0.9444444444444444,0.453305728483
17660,0.05555555555555555,0.000273769615339
17665,0.9166666666666666,0.638895927955
