position,AverageProb
5,0.122474486685013
10,0.24575819074271088
15,0.18645625723025103
20,0.32569364990417626
25,0.1033963902384955
30,0.163856288840809
35,0.2001066224595636
40,0.17689549689549686
45,0.28362011281515925
50,0.24503907188117716
55,0.2511445777080452
60,0.2087351629456893
65,0.19412691833744464
70,0.13521358598757977
75,0.22428937664231785
80,0.25481680586943745
85,0.24355832170073657
90,0.2117467356786242
95,0.2621296689717742
100,0.14529742319216002
105,0.25749300826700205
110,0.23496147731441852
115,0.27815668710405544
120,0.27065090300384415
125,0.1791893465577676
130,0.16029968029968028
135,0.2631550031550032
140,0.2805659042501148
145,0.1888225332807376
150,0.2107897807897808
155,0.18417240890925105
160,0.27891092733198
165,0.1843009885115148
170,0.2655057955057955
175,0.28962735383788013
180,0.20052039736250263
185,0.3156106140316666
190,0.23531706952759582
195,0.1909557199030883
200,0.15696797195249207
205,0.35471158102737044
210,0.14380460615754728
215,0.15922308420760434
220,0.2976723605516175
225,0.287717929823193
230,0.263942452363505
235,0.2122293235296331
240,0.20433384433384433
245,0.2700810850656052
250,0.11727215937742251
255,0.32449625211235117
260,0.13199287842144983
265,0.10975987725213732
270,0.1611235869154421
275,0.3827830301514512
280,0.25604437446542716
285,0.05950493529679051
290,0.20284584231952654
295,0.2312406408381641
300,0.3414687760841607
305,0.11203740058229224
310,0.2342865438840671
315,0.4153341038789955
320,0.13604026183211698
325,0.2605832605832606
330,0.234864304988144
335,0.2803163882111251
340,0.27843450908466383
345,0.3883977094503411
350,0.1872066125936095
355,0.19040216449123326
360,0.4947643000274579
365,0.2680062381300771
370,0.17779943213379742
375,0.11295214979425504
380,0.32349668876222815
385,0.2977483003798793
390,0.26204456993930675
395,0.2810767784451995
400,0.2423592470984707
405,0.2786391496917812
410,0.2779252931908326
415,0.24783558467768996
420,0.13925590767696028
425,0.17395501513148573
430,0.22848739597965603
435,0.17306958096431777
440,0.101771958737903
445,0.38369655474918635
450,0.17858750227171277
455,0.3175085701401491
460,0.19934726461280408
465,0.35853137695242954
470,0.15918101115469532
475,0.1646373646373646
480,0.15493354115645136
485,0.16702267730975864
490,0.21554965966730674
495,0.2626925989155091
500,0.20505919142282777
505,0.2537122718940901
510,0.2203564144740615
515,0.2657368598545069
520,0.20271609147207229
525,0.2455091968249863
530,0.34698456830035773
535,0.3194990958148852
540,0.29263444116385295
545,0.2749774312932208
550,0.204198405514195
555,0.17134100487041662
560,0.15147990779569726
565,0.3595503295503295
570,0.2650551850551851
575,0.27793572793572785
580,0.2852283018949685
585,0.18191529285440533
590,0.2482820355369375
595,0.207095464113008
600,0.22857560225981277
605,0.4689431728647414
610,0.1651322190537877
615,0.2968448840997861
620,0.08852160707810863
625,0.4138196638196638
630,0.24352365352365352
635,0.3388708513708514
640,0.24893578643578645
645,0.09641394641394642
650,0.2831168831168831
655,0.46568627450980393
660,0.04274160524160524
665,0.6146464646464646
670,0.041666666666666664
675,0.19444444444444445
680,0.027777777777777776
685,0.37142857142857144
690,0.7142857142857143
695,0.027777777777777776
700,0.027777777777777776
705,0.08571428571428572
710,0.027777777777777776
715,0.11428571428571428
720,0.02857142857142857
725,0.027777777777777776
730,0.6571428571428571
735,0.027777777777777776
740,0.027777777777777776
745,0.027777777777777776
750,0.027777777777777776
755,0.7428571428571429
760,0.5428571428571428
